Key,en,es,ar
Exchange Crypto Logs,Exchange Crypto Logs,Intercambiar registros criptográficos,تبادل سجلات التشفير
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Select State,Select State,Seleccione estado,اختر ولايه
Select City,Select City,Ciudad selecta,اختر مدينة
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Coins,Coins,monedas,عملات معدنية
Add Coin,Add Coin,Agregar moneda,أضف عملة
Write Name,Write Name,Escribir nombre,اكتب الاسم
Title,Title,Título,عنوان
Write Title,Write Title,Escribir título,اكتب العنوان
Add,Add,Agregar,يضيف
Coin already exists,Coin already exists,La moneda ya existe,العملة موجودة بالفعل
Coin Added Successfully,Coin Added Successfully,Moneda agregada exitosamente,تمت إضافة العملة بنجاح
Coin updated successfully!,Coin updated successfully!,¡Moneda actualizada exitosamente!,تم تحديث العملة بنجاح!
Coin Deleted Successfully!,Coin Deleted Successfully!,¡Moneda eliminada con éxito!,تم حذف العملة بنجاح!
Coin status updated successfully!,Coin status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!
Edit Coin,Edit Coin,Editar moneda,تحرير العملة
Cancel,Cancel,Cancelar,يلغي
delete,delete,borrar,يمسح
this Coin?,this Coin?,esta moneda?,هذه العملة؟
Networks,Networks,Redes,الشبكات
Add Network,Add Network,Agregar red,اضافة شبكة
Coin Name,Coin Name,Nombre de la moneda,اسم العملة
Arrival Time,Arrival Time,Hora de llegada,وقت الوصول
Write Arrival Time,Write Arrival Time,Escribir hora de llegada,اكتب وقت الوصول
Write Description,Write Description,Escribir descripción,اكتب الوصف
Min,Min,mín.,دقيقة
this Network?,this Network?,esta Red?,هذه الشبكة؟
The arrival time field is required.,The arrival time field is required.,El campo de hora de llegada es obligatorio.,حقل وقت الوصول مطلوب.
The coin field is required.,The coin field is required.,El campo de la moneda es obligatorio.,حقل العملة مطلوب.
Network already exists,Network already exists,La red ya existe,الشبكة موجودة بالفعل
Network Added Successfully,Network Added Successfully,Red agregada exitosamente,تمت إضافة الشبكة بنجاح
The edit_coin field is required.,The edit_coin field is required.,El campo edit_coin es obligatorio.,"الحقل ""edit_coin"" مطلوب."
The edit_name field is required.,The edit_name field is required.,El campo edit_name es obligatorio.,حقل اسم التعديل مطلوب.
The edit_arrival_time field is required.,The edit_arrival_time field is required.,El campo edit_arrival_time es obligatorio.,"الحقل ""edit_arrival_time"" مطلوب."
Network updated successfully!,Network updated successfully!,¡Red actualizada exitosamente!,تم تحديث الشبكة بنجاح!
Network Deleted Successfully!,Network Deleted Successfully!,¡Red eliminada correctamente!,تم حذف الشبكة بنجاح!
Network status updated successfully!,Network status updated successfully!,¡El estado de la red se actualizó exitosamente!,تم تحديث حالة الشبكة بنجاح!
Symbol,Symbol,Símbolo,رمز
Type,Type,Tipo,يكتب
Rate,Rate,Tasa,معدل
Role,Role,Role,دور
Code,Code,Código,شفرة
The code field is required.,The code field is required.,El campo del código es obligatorio.,حقل الرمز مطلوب.
The symbol field is required.,The symbol field is required.,El campo de símbolo es obligatorio.,حقل الرمز مطلوب.
The option field is required.,The option field is required.,El campo de opción es obligatorio.,حقل الخيار مطلوب.
The rate field is required.,The rate field is required.,El campo de tarifa es obligatorio.,حقل المعدل مطلوب.
The network field is required.,The network field is required.,El campo de red es obligatorio.,حقل الشبكة مطلوب.
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Error en la creación de moneda predeterminada! Inténtalo de nuevo.,العملة الافتراضية فشلت! حاول مرة اخرى.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,سجل العملة غير موجود في نظامنا.
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!
The currency name field is required.,The currency name field is required.,El campo del nombre de la moneda es obligatorio.,حقل اسم العملة مطلوب.
The currency code field is required.,The currency code field is required.,El campo del código de moneda es obligatorio.,حقل رمز العملة مطلوب.
The currency symbol field is required.,The currency symbol field is required.,El campo del símbolo de moneda es obligatorio.,حقل رمز العملة مطلوب.
The currency rate field is required.,The currency rate field is required.,El campo del tipo de cambio es obligatorio.,حقل سعر العملة مطلوب.
The currrency option field is required.,The currrency option field is required.,El campo de opción de moneda es obligatorio.,حقل خيار العملة مطلوب.
Image file upload faild!,Image file upload faild!,¡La carga del archivo de imagen falló!,فشل تحميل ملف الصورة!
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.
Can\'t deletable default currency.,Can\'t deletable default currency.,No se puede eliminar la moneda predeterminada.,لا يمكن حذف العملة الافتراضية.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!
Search,Search,Buscar,يبحث
Flag,Flag,Bandera,علَم
Add Currency,Add Currency,Agregar moneda,أضف العملة
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
currency?,currency?,¿divisa?,عملة؟
Withdraw Crypto Charges,Withdraw Crypto Charges,Retirar cargos criptográficos,سحب رسوم التشفير
Exchange Crypto Charges,Exchange Crypto Charges,Cargos de intercambio de criptomonedas,تبادل رسوم التشفير
Charges,Charges,Cargos,رسوم
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة
Range,Range,Rango,يتراوح
Minimum Amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ
Maximum Amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!
Outside Wallet Address,Outside Wallet Address,Dirección de billetera externa,عنوان المحفظة الخارجي
Add Outside Wallet Address,Add Outside Wallet Address,Agregar dirección de billetera externa,أضف عنوان المحفظة الخارجي
Currency Name,Currency Name,Nombre de la moneda,اسم العملة
P. Address,P. Address,P. Dirección,ص. العنوان
this Outside Wallet?,this Outside Wallet?,¿Esta cartera exterior?,هذه المحفظة الخارجية؟
Option,Option,Opción,خيار
Outside Wallet Create,Outside Wallet Create,Crear billetera externa,إنشاء المحفظة الخارجية
Select Currency,Select Currency,Seleccione el tipo de moneda,اختر العملة
Public Address,Public Address,Direccion publica,العنوان العام
Instruction,Instruction,Instrucción,تعليمات
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Textarea,Textarea,área de texto,منطقة النص
File,File,Archivo,ملف
Input Text,Input Text,Texto de entrada,أدخل نصآ
Field Name,Field Name,Nombre del campo,اسم الحقل
Data fetch successfully,Data fetch successfully,Recuperación de datos exitosa,تم جلب البيانات بنجاح
The currency field is required.,The currency field is required.,El campo de moneda es obligatorio.,حقل العملة مطلوب.
The public address field is required.,The public address field is required.,El campo de dirección pública es obligatorio.,حقل العنوان العام مطلوب.
Outside Address already exists!,Outside Address already exists!,¡La dirección exterior ya existe!,العنوان الخارجي موجود بالفعل!
Outside wallet created successfully.,Outside wallet created successfully.,Cartera externa creada correctamente.,تم إنشاء المحفظة الخارجية بنجاح.
Outside Wallet Edit,Outside Wallet Edit,Monedero exterior Editar,تحرير المحفظة الخارجية
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
Field Types,Field Types,Tipos de campo,أنواع الحقول
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت)
File Extension,File Extension,Extensión de archivo,امتداد الملف
Min Character,Min Character,Carácter mínimo,حرف مين
Max Character,Max Character,Carácter máximo,شخصية ماكس
Outside wallet Updated successfully.,Outside wallet Updated successfully.,Monedero externo Actualizado exitosamente.,تم تحديث المحفظة الخارجية بنجاح.
Outside Wallet Deleted Successfully!,Outside Wallet Deleted Successfully!,¡La billetera externa se eliminó exitosamente!,تم حذف المحفظة الخارجية بنجاح!
Outside Wallet status updated successfully!,Outside Wallet status updated successfully!,¡El estado de la billetera externa se actualizó exitosamente!,تم تحديث حالة المحفظة الخارجية بنجاح!
Required,Required,Requerido,مطلوب
Confirm Buy Crypto Logs,Confirm Buy Crypto Logs,Confirmar comprar registros criptográficos,تأكيد شراء سجلات التشفير
Pending Buy Crypto Logs,Pending Buy Crypto Logs,Pendientes de comprar registros criptográficos,في انتظار شراء سجلات التشفير
All Buy Crypto Logs,All Buy Crypto Logs,Todos los registros criptográficos de compra,جميع شراء سجلات التشفير
Rejected Buy Crypto Logs,Rejected Buy Crypto Logs,Registros de criptografía de compra rechazados,تم رفض شراء سجلات التشفير
Buy Crypto Log Details,Buy Crypto Log Details,Comprar detalles del registro criptográfico,شراء تفاصيل سجل التشفير
Sender Information,Sender Information,Información del remitente,معلومات المرسل
Wallet Name,Wallet Name,Nombre de la billetera,اسم المحفظة
IP,IP,IP,الملكية الفكرية
Browser,Browser,Navegador,المتصفح
OS,OS,SO,نظام التشغيل
TimeZone,TimeZone,Zona horaria,وحدة زمنية
Transaction Device Information,Transaction Device Information,Información del dispositivo de transacción,معلومات جهاز المعاملة
Payment Summary,Payment Summary,Resumen de pago,ملخص الدفع
Transaction Number,Transaction Number,Número de transacción,رقم التحويلة
Transaction Type,Transaction Type,tipo de transacción,نوع المعاملة
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع
Send Amount,Send Amount,Enviar cantidad,إرسال المبلغ
Total Charge,Total Charge,Carga total,القيمة الاجمالية
Payable Amount,Payable Amount,Cantidad a pagar,المبلغ المستحق
Payment Status,Payment Status,Estado de pago,حالة السداد
Remark,Remark,Observación,ملاحظة
Are you sure to CONFIRM this transaction?,Are you sure to CONFIRM this transaction?,¿Estás seguro de CONFIRMAR esta transacción?,هل أنت متأكد من تأكيد هذه الصفقة؟
All Exchange Crypto Logs,All Exchange Crypto Logs,Todos los registros criptográficos de Exchange,جميع سجلات تشفير التبادل
Confirm Exchange Crypto Logs,Confirm Exchange Crypto Logs,Confirmar registros criptográficos de Exchange,تأكيد سجلات تشفير Exchange
Exchange Crypto Log Details,Exchange Crypto Log Details,Detalles del registro criptográfico de Exchange,تبادل تفاصيل سجل التشفير
Receiver Information,Receiver Information,información del receptor,معلومات استقبال
Pending Exchange Crypto Logs,Pending Exchange Crypto Logs,Registros criptográficos de intercambio pendientes,سجلات تشفير التبادل المعلقة
Rejected Exchange Crypto Logs,Rejected Exchange Crypto Logs,Registros criptográficos de Exchange rechazados,سجلات تشفير التبادل المرفوضة
All Sell Crypto Logs,All Sell Crypto Logs,Todos los registros criptográficos de venta,جميع بيع سجلات التشفير
Confirm Sell Crypto Logs,Confirm Sell Crypto Logs,Confirmar vender registros criptográficos,تأكيد بيع سجلات التشفير
Sell Crypto Log Details,Sell Crypto Log Details,Vender detalles del registro criptográfico,بيع تفاصيل سجل التشفير
Pending Sell Crypto Logs,Pending Sell Crypto Logs,Registros criptográficos de venta pendientes,في انتظار بيع سجلات التشفير
Rejected Sell Crypto Logs,Rejected Sell Crypto Logs,Registros criptográficos de venta rechazados,تم رفض بيع سجلات التشفير
All Withdraw Crypto Logs,All Withdraw Crypto Logs,Todos los registros criptográficos de retirada,جميع سجلات سحب التشفير
Confirm Withdraw Crypto Logs,Confirm Withdraw Crypto Logs,Confirmar retirar registros criptográficos,تأكيد سحب سجلات التشفير
Withdraw Crypto Log Details,Withdraw Crypto Log Details,Retirar detalles del registro criptográfico,سحب تفاصيل سجل التشفير
Wallet Code,Wallet Code,Código de billetera,رمز المحفظة
Pending Withdraw Crypto Logs,Pending Withdraw Crypto Logs,Pendiente de retirar registros criptográficos,في انتظار سحب سجلات التشفير
Rejected Withdraw Crypto Logs,Rejected Withdraw Crypto Logs,Rechazado Retirar registros criptográficos,تم رفض سحب سجلات التشفير
Transaction Status updated successfully,Transaction Status updated successfully,Estado de la transacción actualizado exitosamente,تم تحديث حالة المعاملة بنجاح
Transaction Rejected successfully,Transaction Rejected successfully,Transacción rechazada exitosamente,تم رفض المعاملة بنجاح
Action,Action,Acción,فعل
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Information of User,Information of User,Información del Usuario,معلومات المستخدم
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
User Status,User Status,Estatus de usuario,حالة المستخدم
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق
Select Type,Select Type,Seleccione tipo,اختر صنف
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
Opps! User not exists,Opps! User not exists,¡Ups! El usuario no existe,انتبه! المستخدم غير موجود
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة
Full Name,Full Name,Nombre completo,الاسم الكامل
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Close,Close,Cerca,يغلق
Send,Send,Enviar,يرسل
SL,SL,SL,إس إل
MAC,MAC,MAC,ماك
Location,Location,Ubicación,موقع
Login at,Login at,Inicia sesión en,تسجيل الدخول في
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Select Role,Select Role,Seleccionar rol,حدد الدور
Generate,Generate,Generar,يولد
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Are you sure to delete this role?,Are you sure to delete this role?,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور؟
Admin not found!,Admin not found!,Administrador no encontrado!,لم يتم العثور على المشرف!
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Opps! Target role not found!,Opps! Target role not found!,¡Ups! ¡Rol objetivo no encontrado!,انتبه! لم يتم العثور على الدور المستهدف!
Opps! Target not found!,Opps! Target not found!,¡Ups! ¡Objetivo no encontrado!,انتبه! لم يتم العثور على الهدف!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Super admin role can\'t deletable.,Super admin role can\'t deletable.,La función de superadministrador no se puede eliminar.,لا يمكن حذف دور المشرف المتميز.
Target role not found!,Target role not found!,¡Rol objetivo no encontrado!,لم يتم العثور على الدور المستهدف!
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Site Title,Site Title,Título del sitio,عنوان الموقع
Select Timezone,Select Timezone,Selecciona la zona horaria,اختر المجال الزمني
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,معطل
The base color field is required.,The base color field is required.,El campo de color base es obligatorio.,حقل اللون الأساسي مطلوب.
The web version field is required.,The web version field is required.,El campo de versión web es obligatorio.,حقل إصدار الويب مطلوب.
The site name field is required.,The site name field is required.,El campo del nombre del sitio es obligatorio.,حقل اسم الموقع مطلوب.
The site title field is required.,The site title field is required.,El campo del título del sitio es obligatorio.,حقل عنوان الموقع مطلوب.
The optp exp seconds field is required.,The optp exp seconds field is required.,El campo optp exp segundos es obligatorio.,حقل optp exp ثانية مطلوب.
The timezone field is required.,The timezone field is required.,El campo de zona horaria es obligatorio.,حقل المنطقة الزمنية مطلوب.
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.
Image assets updated successfully!,Image assets updated successfully!,¡Los recursos de imagen se actualizaron correctamente!,تم تحديث أصول الصورة بنجاح!
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Tags,Tags,Etiquetas,العلامات
The title field is required.,The title field is required.,El campo del título es obligatorio.,مطلوب حقل العنوان.
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
Image,Image,Imagen,صورة
App Version,App Version,Version de aplicacion,نسخة التطبيق
The version field is required.,The version field is required.,El campo de versión es obligatorio.,حقل الإصدار مطلوب.
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS
The url title field is required.,The url title field is required.,El campo del título de la URL es obligatorio.,حقل عنوان URL مطلوب.
The android url field is required.,The android url field is required.,El campo URL de Android es obligatorio.,حقل عنوان URL لنظام Android مطلوب.
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك
KYC Profile,KYC Profile,Perfil KYC,ملف تعريف KYC
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
Proof Of Indentity,Proof Of Indentity,Prueba de identidad,إثبات الهوية
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,"Se envía su información KYC. Espere la confirmación del administrador. Cuando esté verificado por KYC, mostrará la información enviada aquí.",تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف. عندما يتم التحقق من KYC، ستعرض معلوماتك المقدمة هنا.
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
The image field is required.,The image field is required.,El campo de imagen es obligatorio.,حقل الصورة مطلوب.
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
There is no default language in your system. System will automatically select English as a default language.,There is no default language in your system. System will automatically select English as a default language.,No hay ningún idioma predeterminado en su sistema. El sistema seleccionará automáticamente el inglés como idioma predeterminado.,لا توجد لغة افتراضية في نظامك. سيقوم النظام تلقائيًا بتحديد اللغة الإنجليزية كلغة افتراضية.
Add Language,Add Language,Agregar idioma,إضافة لغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Selectable,Selectable,Seleccionable,قابل للتحديد
Import,Import,Importar,يستورد
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
Direction,Direction,Dirección,اتجاه
LTR,LTR,LTR,لتر
RTL,RTL,RTL,من اليمين إلى اليسار
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Language Information,Language Information,Información de idioma,معلومات اللغة
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
Opps! Language not found!,Opps! Language not found!,¡Ups! ¡Idioma no encontrado!,انتبه! لم يتم العثور على اللغة!
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Excryption,Excryption,cifrado,التشفير
SSL,SSL,SSL,طبقة المقابس الآمنة
TLS,TLS,TLS,تي لس
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!
The method field is required.,The method field is required.,El campo del método es obligatorio.,حقل الطريقة مطلوب.
The host field is required.,The host field is required.,El campo de host es obligatorio.,الحقل المضيف مطلوب.
The port field is required.,The port field is required.,El campo del puerto es obligatorio.,حقل المنفذ مطلوب.
The encryption field is required.,The encryption field is required.,El campo de cifrado es obligatorio.,حقل التشفير مطلوب.
The username field is required.,The username field is required.,El campo de nombre de usuario es obligatorio.,حقل اسم المستخدم مطلوب.
Deactive,Deactive,Desactivado,غير نشط
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC
